,company_name,job_title,experience,salary,location,desc,skills
0,Flipkart Internet Private Limited,Hiring Data Analysts,2-5 Yrs,"3,00,000 - 6,00,000 PA.",Bengaluru, Hiring Data Analyst profile on the third-party payroll(contractual role 1yr and can be ...,"Business Intelligence ,MIS Preparation ,Automation ,Excel ,Business Analytics ,Data Analysis ,Data Visualization ,Data Mining ,"
1,HCL Technologies Limited,HCL is Hiring For AI/ML Engineers,5-10 Yrs,Not disclosed,"Chennai, Bengaluru, Greater Noida", 2+ years of experience in developing and deploying voice and / or text conversational f...,"Tensorflow ,Artificial Intelligence ,Python ,Java ,Natural Language Processing ,Neural Networks ,Caffe ,Machine Learning ,"
2,Maveric Systems Limited,Abinitio Developer opening with Maveric Systems Limited,2-7 Yrs,Not disclosed,"Chennai, Bengaluru"," Experience on development and maintenance of schemas, Fact Tables, Dimensional Tables (...","Ab Initio ,Abinitio ,"
3,Pointers Digitech Pvt. Ltd,Machine Learning (ML)/Natural Language Processing (NLP) Developer,2-4 Yrs,Not disclosed,Delhi NCR, Ability to select hardware to run an ML model with the required latency Experience with...,"Natural Language Processing ,Classification ,Machine Learning ,Algorithm Development ,NLP ,data stru ,Data Structures ,Artificial Intelligence ,"
4,Freelancer Vaishali S. Suryawanshi ,Lead Java Developer - Product Engineering domain,8-12 Yrs,"18,00,000 - 25,00,000 PA.",Bengaluru, Can develop SOA services and good knowledge of REST API and Micro service architectures...,"Big Data ,Core Java ,AWS ,Hibernate ,Big Data Analytics ,JBoss ,Hadoop ,Kafka ,"
5,TECH ZONE SOLUTION ,MIS Executive,0-3 Yrs,"1,75,000 - 2,25,000 PA.","Delhi NCR, Noida, Gurgaon"," Urgently required Data Entry Operator, computer Operator Computer / Laptop Or Android P...","Language Skills ,Typing ,Data Management ,Computer Operating ,Non Voice ,Data Entry ,Computer Skills ,Communication Skills ,"
6,Technovalley Software India Private Limited,Python Trainer,2-7 Yrs,"2,00,000 - 3,75,000 PA.",Kochi," Key Skills: Machine Learning, Python, Django framework, R programming, Deep learning.Tr...","Data Science ,Django ,Python ,"
7,MyBizz Consultant Private Limited  ,Need Computer Data Entry Operator work@Home/Part time job In Company,0-5 Yrs,"2,25,000 - 6,00,000 PA.",Delhi NCR," Urgently required Data Entry Operator, computer Operator who spend 2-3 hrs daily and ea...","Data Loader ,housewives ,Typing ,Data Management ,Computer Operating ,Data Extraction ,students ,Data Entry ,"
8,MyBizz Consultant Private Limited  ,Work@ Home | Part time job | Typing Work | Data Entry Earn Upto 40k/pm,0-5 Yrs,"1,75,000 - 5,50,000 PA.",Delhi NCR," Urgently required Data Entry Operator, computer Operator who spend 2-3 hrs daily and ea...","Data Loader ,housewives ,Typing Speed ,Data Management ,Data Extraction ,Data Entry ,fresher ,part time job ,"
9,MyBizz Consultant Private Limited  ,Computer Data Entry Operator work@Home/part time job in Direct Company,0-5 Yrs,"2,25,000 - 6,50,000 PA.",Delhi NCR," Urgently required Data Entry Operator, computer Operator who spend 2-3 hrs daily and ea...","Data Loader ,housewives ,Typing ,Typing Speed ,Data Management ,Hiring ,Computer Operating ,Data Extraction ,"
10,Aspire Consultancy Services  ,Openings For Career Counsellor For Education sector - Data Science,1-6 Yrs,"2,50,000 - 4,25,000 PA.","Navi Mumbai, Thane", Min 1 year experience into education sales of Data science mandatory Job location : Vas...,"Data Science ,Bde ,Sales ,Outbound Sales ,Telesales ,Telecalling ,Cold Calling ,Inside Sales ,"
11,People Pro Consulting,MIS Executive -Bangalore (ctc upto 3 lacs),1-4 Yrs,"1,00,000 - 3,25,000 PA.",Bengaluru(Whitefield)," Qualification : GraduatePerson should have logical reasoning, understanding of Applianc...","MIS Preparation ,VLOOKUP ,Advanced Excel ,Pivot Table ,SUMIF ,SAP ,mis coodinator ,Macros ,"
12,TEAMLEASE SERVICES LIMITED  ,Data Scientist - Asia Pacific,5-10 Yrs,"25,00,000 - 30,00,000 PA.",Mumbai, Experience in advanced Machine Learning & Deep Learning techniques and algorithms such ...,"Data Science ,R ,GCP ,Data Scientist ,Advanced Analytics ,Machine Learning ,AWS ,Deep Learning ,"
13,bebo Technologies Pvt. Ltd.,Senior Software Engineer- Data Scientist- Chandigarh,5-10 Yrs,Not disclosed,Chandigarh, 5 years of experience in Machine learning/ Data Science/ NLP and delivering scalable co...,"deep learning ,algorithms ,panda ,python ,nlp ,natural language processing ,data science ,Artificial Intelligence ,"
14,Future Retail Limited,Team Leader Operations,3-6 Yrs,"2,00,000 - 2,75,000 PA.","Bareilly, Dehradun, Haldwani, Delhi NCR, Lucknow, Kanpur, Haridwar, Rudrapur, Meerut", In-depth experience in back-end & front-end retail operations,"Process & SOP Management ,Reduction of shrinkage & Total Loss ,Customer Service ,Sales ,Store Operations ,Team Leading ,Shrinkage ,"
15,Future Retail Limited,Retail Store Manager,5-8 Yrs,"3,00,000 - 4,25,000 PA.","Bareilly, Dehradun, Haldwani, Delhi NCR, Lucknow, Kanpur, Haridwar, Rudrapur, Meerut", In-depth experience in back-end & front-end retail operations,"Process & SOP Management ,Reduction of shrinkage & Total Loss ,Inventory Management ,Driving Sales & Customer service ,People Management ,Store Management ,"
16,Nablasol Digital Services Pvt Ltd ,Business Analyst,2-5 Yrs,Not disclosed,Delhi NCR, The candidate should have a knack for improving business processes and suggesting softw...,"Data Analysis ,Data Analytics ,Business Analysis ,SQL ,"
17,PES HR Services a div of AMAL INFOSYSTEMS Pvt Ltd ,AI & RPA Developer-Mumbai,3-6 Yrs,Not disclosed,Mumbai," Proficient with ML frameworks- Tensorflow, SPARK","Tensorflow ,UiPath ,RPA ,Artificial Intelligence ,AI ,CAFFE ,SPARK ,Machine Learning ,"
18,Tekion India Private Limited,Data Analyst,3-8 Yrs,Not disclosed,Bengaluru, A drive to learn and master new technologies and techniques We re looking for someone w...,"Data Analysis ,Python ,SQL ,"
19,Tekion India Private Limited,Product Manager,3-8 Yrs,Not disclosed,Chennai," Ability to write user stories, use cases and workflows, simplify the requirements, crea...","Product Management ,"
20,Abzooba India Infotech Private Limited,Opening For Data Scientist Role !! PUNE!!,3-6 Yrs,Not disclosed,Pune(Baner)," Hands-on experience with machine learning and deep learning algorithms such as SVM, kNN...","Operational Excellence ,Pyspark ,CNN ,Natural Language Processing ,Tenserflow ,Neural Networks ,Architectural Design ,KNN ,"
21,Mahindra TeQO Pvt Ltd  ,Data Scientist,2-4 Yrs,Not disclosed,Bengaluru, Exposure to agile development processes and practices requiredExperience with common da...,"Data Science ,Predictive Modeling ,Natural Language Processing ,Ensemble ,Neural Networks ,Data Mining ,Machine Learning ,Deep Learning ,"
22,Mailkit Private Limited,Data Scientist,4-9 Yrs,Not disclosed,"Chennai, Pune, Mumbai, Bengaluru, Hyderabad, Kolkata", Candidates might get the opportunity to work from homeDeveloper(s) should be able to ta...,"Data Science ,NLP ,Text Analytics ,Data Mining ,Machine Learning ,Statistical Analysis ,Deep Learning ,Python ,"
23,EchoIndia,Data Scientist/Analyst - Machine Learning/Deep Learning,3-6 Yrs,Not disclosed,Delhi, - Strong experience in statistical models and machine learning models,"ArcGIS ,Google Maps ,NLP ,Data Scientist ,Data Management ,Statistical Modeling ,Tableau ,Machine Learning ,"
